發生或發現時間,發生或發現地點,發生或發現管轄機關
1131108  1130,臺南市南區灣裡路211巷9-1號,AC6Q1  臺南市政府警察局第六分局灣裡派出所
1131108  1814,臺南市南區中華南路一段43號,AC6S1  臺南市政府警察局第六分局大林派出所
1131108  1030,臺南市七股區大埕里三合段986地號,AC7V1  臺南市政府警察局佳里分局七股分駐所
1131107  1834,臺南市永康區鹽行路100巷61弄,ACBS1  臺南市政府警察局永康分局鹽行派出所
1131108  1730,臺南市永康區忠義街44巷3號,ACBP1  臺南市政府警察局永康分局復興派出所
1131108  1640,臺南市永康區中華路280-53號(彌敦道9號),ACBP1  臺南市政府警察局永康分局復興派出所
1131108  1514,臺南市新營區新進路二段230-3號,ACDW1  臺南市政府警察局新營分局民治派出所
1131024  1300,臺南市中西區中西區大勇街50號,AC2O1  臺南市政府警察局第二分局中正派出所
1131109  0811,臺南市中西區中西區金華路三段5號(一哈入魂夾娃娃機店),AC2O1  臺南市政府警察局第二分局中正派出所
1131108  0650,臺南市中西區中西區南門路41號,AC2P1  臺南市政府警察局第二分局南門派出所
1131109  1120,臺南市北區和緯路4段8號,AC5M1  臺南市政府警察局第五分局和緯派出所
1131107  0520,臺南市善化區蓮潭里龍目井路469號外騎樓。,AC9Q1  臺南市政府警察局善化分局茄拔派出所
1131109  0253,臺南市鹽水區信義路4之6號,ACDU1  臺南市政府警察局新營分局鹽水分駐所
1131107  2147,臺南市官田區南?里三結義16-8號,ACGW1  臺南市政府警察局麻豆分局官田分駐所
1131110  0448,臺南市東區崇善路663號東區崇善路663號,AC1O1  臺南市政府警察局第一分局德高派出所
1131104  2010,臺南市中西區民族路3段277號,AC2N1  臺南市政府警察局第二分局長樂派出所
1131110  1700,臺南市中西區中西區西門路一段658號6樓C區 CARLYN店,AC2P1  臺南市政府警察局第二分局南門派出所
1131110  1630,臺南市中西區中西區海安路二段人人市集內,AC2N1  臺南市政府警察局第二分局長樂派出所
1131015  0800,臺南市安南區大安街145巷8號,AC3M1  臺南市政府警察局第三分局安中派出所
