發生或發現時間,發生或發現地點,發生或發現管轄機關
1131212  2100,臺南市北區長榮路四段169號,AC5R1  臺南市政府警察局第五分局開元派出所
1131217  2100,臺南市東區大學路西段67號大學路西段67號前騎樓,AC1R1  臺南市政府警察局第一分局東寧派出所
1131210  0800,臺南市北區公園北路(台南二中校門口前人行道),AC5Q1  臺南市政府警察局第五分局實踐派出所
1131217  0649,臺南市南區大同路二段186巷5弄1號,AC6S1  臺南市政府警察局第六分局大林派出所
1131218  0137,臺南市安南區怡安路2段545巷16號,AC3M1  臺南市政府警察局第三分局安中派出所
1131206  1930,臺南市關廟區花園里中正路560號,ACAX1  臺南市政府警察局歸仁分局關廟分駐所
1131219  1500,臺南市永康區國華街102巷37號旁,ACBM1  臺南市政府警察局永康分局永信派出所
1131220  2115,臺南市永康區國華街102巷37號旁,ACBM1  臺南市政府警察局永康分局永信派出所
1131221  1408,臺南市東區東寧運動公園外人行道(靠近東寧路與林森路東寧運動公園外人行道(靠近東寧路與林森路口),AC1N1  臺南市政府警察局第一分局莊敬派出所
1131221  2030,臺南市北區西門路四段2號,AC5O1  臺南市政府警察局第五分局北門派出所
1131218  2100,臺南市北區小東路15號,AC5R1  臺南市政府警察局第五分局開元派出所
1131223  0625,臺南市永康區龍潭街6號對面,ACBQ1  臺南市政府警察局永康分局龍潭派出所
1131223  2157,臺南市東區衛國街112巷31號,AC1Q1  臺南市政府警察局第一分局東門派出所
1131201  2319,臺南市玉井區玉井里中正路173巷9號前倉庫,ACEU1  臺南市政府警察局玉井分局玉井派出所
1131225  1902,臺南市東區大學路1號,AC1R1  臺南市政府警察局第一分局東寧派出所
1131216  1900,臺南市關廟區花園里中正路560號(關廟轉運站),ACAX1  臺南市政府警察局歸仁分局關廟分駐所
1131226  1946,臺南市北區開元路142號前,AC5R1  臺南市政府警察局第五分局開元派出所
1131226  1430,臺南市北區勝利路192號,AC5R1  臺南市政府警察局第五分局開元派出所
1131228  1700,臺南市南區三官路96巷7號,AC6P1  臺南市政府警察局第六分局金華派出所
1131228  1943,臺南市北區文賢三街337巷6弄3號,AC5M1  臺南市政府警察局第五分局和緯派出所
1131229  0800,臺南市南區文南路246號之1,AC6P1  臺南市政府警察局第六分局金華派出所
1131230  1624,臺南市東區小東路246號,AC1R1  臺南市政府警察局第一分局東寧派出所
1131230  1520,臺南市東區成大里前鋒路計程車排班處前鋒路計程車排班處,AC1R1  臺南市政府警察局第一分局東寧派出所
1131230  0630,臺南市北區北門路與東豐路口,AC5O1  臺南市政府警察局第五分局北門派出所
1131227  2220,臺南市仁德區保安里文賢路一段520號旁,ACAY1  臺南市政府警察局歸仁分局文賢派出所
